{first_ts=81000, last_ts=82000, value=30.0, key=1171}
{first_ts=82000, last_ts=83000, value=37.0, key=1269}
{first_ts=82000, last_ts=83000, value=26.5, key=1159}
{first_ts=82000, last_ts=84000, value=17.0, key=1768}
{first_ts=81000, last_ts=84000, value=18.0, key=1164}
{first_ts=13000, last_ts=15000, value=21.333333333333332, key=302}
{first_ts=16000, last_ts=19000, value=21.5, key=311}
{first_ts=18000, last_ts=20000, value=17.666666666666668, key=397}
{first_ts=22000, last_ts=24000, value=21.0, key=302}
{first_ts=31000, last_ts=32000, value=34.5, key=182}
{first_ts=31000, last_ts=32000, value=34.5, key=152}
{first_ts=35000, last_ts=36000, value=32.0, key=215}
{first_ts=32000, last_ts=37000, value=17.333333333333332, key=706}
{first_ts=38000, last_ts=39000, value=32.5, key=291}
{first_ts=40000, last_ts=41000, value=35.0, key=321}
{first_ts=29000, last_ts=43000, value=22.0, key=700}
{first_ts=42000, last_ts=43000, value=30.5, key=310}
{first_ts=43000, last_ts=44000, value=31.5, key=444}
{first_ts=44000, last_ts=45000, value=30.5, key=449}
{first_ts=44000, last_ts=45000, value=29.0, key=366}
{first_ts=13000, last_ts=46000, value=23.38235294117647, key=370}
{first_ts=47000, last_ts=48000, value=32.5, key=484}
{first_ts=45000, last_ts=48000, value=17.75, key=764}
{first_ts=47000, last_ts=48000, value=31.5, key=371}
{first_ts=49000, last_ts=51000, value=37.0, key=371}
{first_ts=51000, last_ts=52000, value=32.5, key=596}
{first_ts=51000, last_ts=52000, value=29.5, key=512}
{first_ts=52000, last_ts=54000, value=33.666666666666664, key=436}
{first_ts=54000, last_ts=55000, value=30.5, key=698}
{first_ts=55000, last_ts=56000, value=37.0, key=848}
{first_ts=49000, last_ts=58000, value=23.2, key=700}
{first_ts=59000, last_ts=60000, value=30.5, key=812}
{first_ts=60000, last_ts=61000, value=28.5, key=773}
{first_ts=60000, last_ts=61000, value=33.0, key=886}
{first_ts=62000, last_ts=63000, value=20.5, key=555}
{first_ts=62000, last_ts=63000, value=36.5, key=994}
{first_ts=63000, last_ts=64000, value=29.0, key=645}
{first_ts=63000, last_ts=64000, value=37.5, key=972}
{first_ts=64000, last_ts=65000, value=34.5, key=945}
{first_ts=58000, last_ts=65000, value=29.875, key=797}
{first_ts=59000, last_ts=65000, value=29.285714285714285, key=700}
{first_ts=36000, last_ts=71000, value=20.27777777777778, key=860}
{first_ts=71000, last_ts=72000, value=31.0, key=1000}
{first_ts=71000, last_ts=72000, value=16.5, key=1647}
{first_ts=71000, last_ts=72000, value=37.5, key=1186}
{first_ts=69000, last_ts=74000, value=22.166666666666668, key=1639}
{first_ts=73000, last_ts=74000, value=30.5, key=1117}
{first_ts=75000, last_ts=76000, value=37.0, key=1254}
{first_ts=75000, last_ts=76000, value=28.5, key=978}
{first_ts=76000, last_ts=77000, value=33.0, key=1227}
{first_ts=79000, last_ts=82000, value=23.25, key=1639}
{first_ts=82000, last_ts=83000, value=29.0, key=1095}
{first_ts=83000, last_ts=84000, value=30.5, key=1335}
{first_ts=28000, last_ts=29000, value=36.5, key=158}
{first_ts=28000, last_ts=29000, value=37.0, key=164}
{first_ts=29000, last_ts=30000, value=37.0, key=173}
{first_ts=29000, last_ts=30000, value=34.5, key=145}
{first_ts=31000, last_ts=32000, value=36.5, key=254}
{first_ts=32000, last_ts=33000, value=34.5, key=219}
{first_ts=29000, last_ts=36000, value=18.0, key=729}
{first_ts=36000, last_ts=37000, value=29.5, key=196}
{first_ts=37000, last_ts=38000, value=31.5, key=269}
{first_ts=37000, last_ts=38000, value=30.5, key=247}
{first_ts=39000, last_ts=40000, value=32.0, key=244}
{first_ts=39000, last_ts=40000, value=28.5, key=233}
{first_ts=41000, last_ts=42000, value=34.5, key=469}
{first_ts=41000, last_ts=42000, value=31.5, key=400}
{first_ts=41000, last_ts=43000, value=20.333333333333332, key=729}
{first_ts=46000, last_ts=47000, value=21.5, key=588}
{first_ts=33000, last_ts=47000, value=21.933333333333334, key=511}
{first_ts=36000, last_ts=47000, value=22.916666666666668, key=811}
{first_ts=48000, last_ts=49000, value=28.5, key=451}
{first_ts=48000, last_ts=49000, value=30.5, key=545}
{first_ts=31000, last_ts=49000, value=18.36842105263158, key=831}
{first_ts=47000, last_ts=50000, value=20.25, key=1126}
{first_ts=43000, last_ts=50000, value=18.5, key=1048}
{first_ts=45000, last_ts=50000, value=26.833333333333332, key=320}
{first_ts=50000, last_ts=51000, value=27.5, key=476}
{first_ts=51000, last_ts=52000, value=30.5, key=620}
{first_ts=51000, last_ts=52000, value=28.0, key=188}
{first_ts=52000, last_ts=53000, value=29.5, key=625}
{first_ts=53000, last_ts=54000, value=25.5, key=508}
{first_ts=54000, last_ts=55000, value=27.5, key=601}
{first_ts=54000, last_ts=55000, value=31.5, key=668}
{first_ts=28000, last_ts=56000, value=20.24137931034483, key=569}
{first_ts=56000, last_ts=57000, value=30.5, key=554}
{first_ts=58000, last_ts=59000, value=37.0, key=864}
{first_ts=59000, last_ts=60000, value=33.0, key=714}
{first_ts=40000, last_ts=63000, value=18.916666666666668, key=968}
{first_ts=57000, last_ts=63000, value=27.428571428571427, key=807}
{first_ts=63000, last_ts=64000, value=25.0, key=729}
{first_ts=65000, last_ts=66000, value=26.0, key=655}
{first_ts=65000, last_ts=66000, value=29.5, key=910}
{first_ts=66000, last_ts=67000, value=35.0, key=1041}
{first_ts=67000, last_ts=68000, value=31.5, key=1008}
{first_ts=68000, last_ts=69000, value=30.5, key=800}
{first_ts=70000, last_ts=71000, value=38.0, key=1070}
{first_ts=71000, last_ts=72000, value=19.5, key=1428}
{first_ts=72000, last_ts=73000, value=37.0, key=1194}
{first_ts=72000, last_ts=73000, value=22.5, key=1394}
{first_ts=73000, last_ts=74000, value=29.0, key=961}
{first_ts=73000, last_ts=74000, value=28.5, key=1059}
{first_ts=71000, last_ts=74000, value=30.0, key=830}
{first_ts=73000, last_ts=74000, value=37.0, key=1235}
{first_ts=75000, last_ts=76000, value=34.5, key=968}
{first_ts=76000, last_ts=77000, value=30.5, key=1188}
{first_ts=77000, last_ts=78000, value=33.5, key=1245}
{first_ts=79000, last_ts=80000, value=30.0, key=1122}
{first_ts=80000, last_ts=81000, value=24.5, key=1855}
{first_ts=79000, last_ts=81000, value=61.333333333333336, key=714}
{first_ts=81000, last_ts=82000, value=29.5, key=1267}
{first_ts=82000, last_ts=83000, value=25.5, key=1855}
{first_ts=6000, last_ts=14000, value=18.333333333333332, key=147}
{first_ts=10000, last_ts=16000, value=18.857142857142858, key=252}
{first_ts=11000, last_ts=17000, value=12.428571428571429, key=245}
{first_ts=13000, last_ts=18000, value=13.5, key=257}
{first_ts=13000, last_ts=21000, value=18.11111111111111, key=318}
{first_ts=20000, last_ts=23000, value=17.75, key=498}
{first_ts=21000, last_ts=25000, value=15.8, key=424}
{first_ts=21000, last_ts=26000, value=19.166666666666668, key=559}
{first_ts=26000, last_ts=27000, value=37.0, key=116}
{first_ts=28000, last_ts=29000, value=24.5, key=190}
{first_ts=25000, last_ts=30000, value=23.666666666666668, key=245}
{first_ts=28000, last_ts=30000, value=21.0, key=621}
{first_ts=32000, last_ts=33000, value=31.0, key=133}
{first_ts=32000, last_ts=33000, value=37.0, key=288}
{first_ts=32000, last_ts=35000, value=23.0, key=471}
{first_ts=35000, last_ts=36000, value=28.5, key=125}
{first_ts=26000, last_ts=36000, value=18.818181818181817, key=318}
{first_ts=35000, last_ts=36000, value=31.0, key=183}
{first_ts=36000, last_ts=37000, value=34.5, key=338}
