SpeedDeltaInterval(start: 29000, end: 36000, value: 17.714285714285715, value description: avg, key: 729)
SpeedDeltaInterval(start: 29000, end: 31000, value: 22.5, value description: avg, key: 723)
SpeedDeltaInterval(start: 36000, end: 37000, value: 31.5, value description: avg, key: 276)
SpeedDeltaInterval(start: 30000, end: 34000, value: 16.4, value description: avg, key: 742)
SpeedDeltaInterval(start: 32000, end: 33000, value: 32.0, value description: avg, key: 142)
SpeedDeltaInterval(start: 25000, end: 30000, value: 23.666666666666668, value description: avg, key: 245)
SpeedDeltaInterval(start: 37000, end: 38000, value: 35.0, value description: avg, key: 290)
SpeedDeltaInterval(start: 38000, end: 39000, value: 31.0, value description: avg, key: 278)
SpeedDeltaInterval(start: 29000, end: 40000, value: 17.363636363636363, value description: avg, key: 767)
SpeedDeltaInterval(start: 35000, end: 38000, value: 19.25, value description: avg, key: 282)
SpeedDeltaInterval(start: 27000, end: 33000, value: 17.0, value description: avg, key: 273)
SpeedDeltaInterval(start: 32000, end: 33000, value: 37.0, value description: avg, key: 288)
SpeedDeltaInterval(start: 32000, end: 35000, value: 23.0, value description: avg, key: 471)
SpeedDeltaInterval(start: 37000, end: 38000, value: 31.5, value description: avg, key: 269)
SpeedDeltaInterval(start: 29000, end: 31000, value: 24.5, value description: avg, key: 465)
SpeedDeltaInterval(start: 32000, end: 37000, value: 17.0, value description: avg, key: 834)
SpeedDeltaInterval(start: 35000, end: 38000, value: 20.0, value description: avg, key: 829)
SpeedDeltaInterval(start: 17000, end: 40000, value: 23.304347826086957, value description: avg, key: 289)
SpeedDeltaInterval(start: 34000, end: 37000, value: 19.0, value description: avg, key: 820)
SpeedDeltaInterval(start: 29000, end: 31000, value: 38.0, value description: avg, key: 195)
SpeedDeltaInterval(start: 29000, end: 34000, value: 21.8, value description: avg, key: 296)
SpeedDeltaInterval(start: 35000, end: 36000, value: 31.0, value description: avg, key: 183)
SpeedDeltaInterval(start: 34000, end: 37000, value: 20.0, value description: avg, key: 853)
SpeedDeltaInterval(start: 26000, end: 36000, value: 19.3, value description: avg, key: 318)
SpeedDeltaInterval(start: 35000, end: 36000, value: 28.5, value description: avg, key: 125)
SpeedDeltaInterval(start: 30000, end: 31000, value: 31.5, value description: avg, key: 106)
SpeedDeltaInterval(start: 36000, end: 38000, value: 21.666666666666668, value description: avg, key: 870)
SpeedDeltaInterval(start: 37000, end: 38000, value: 37.0, value description: avg, key: 308)
SpeedDeltaInterval(start: 36000, end: 37000, value: 31.0, value description: avg, key: 190)
SpeedDeltaInterval(start: 33000, end: 34000, value: 32.5, value description: avg, key: 208)
SpeedDeltaInterval(start: 38000, end: 41000, value: 17.0, value description: avg, key: 913)
SpeedDeltaInterval(start: 36000, end: 37000, value: 33.0, value description: avg, key: 300)
SpeedDeltaInterval(start: 37000, end: 38000, value: 17.5, value description: avg, key: 922)
SpeedDeltaInterval(start: 37000, end: 38000, value: 31.5, value description: avg, key: 304)
SpeedDeltaInterval(start: 38000, end: 39000, value: 28.5, value description: avg, key: 222)
SpeedDeltaInterval(start: 29000, end: 30000, value: 37.0, value description: avg, key: 173)
SpeedDeltaInterval(start: 30000, end: 31000, value: 31.5, value description: avg, key: 107)
SpeedDeltaInterval(start: 38000, end: 39000, value: 28.5, value description: avg, key: 218)
SpeedDeltaInterval(start: 33000, end: 34000, value: 30.5, value description: avg, key: 157)
SpeedDeltaInterval(start: 37000, end: 38000, value: 31.0, value description: avg, key: 277)
SpeedDeltaInterval(start: 33000, end: 34000, value: 32.5, value description: avg, key: 216)
SpeedDeltaInterval(start: 38000, end: 39000, value: 32.5, value description: avg, key: 298)
SpeedDeltaInterval(start: 36000, end: 37000, value: 34.5, value description: avg, key: 338)
SpeedDeltaInterval(start: 39000, end: 40000, value: 31.5, value description: avg, key: 343)
SpeedDeltaInterval(start: 35000, end: 36000, value: 31.5, value description: avg, key: 230)
SpeedDeltaInterval(start: 20000, end: 33000, value: 17.76923076923077, value description: avg, key: 500)
SpeedDeltaInterval(start: 31000, end: 32000, value: 32.5, value description: avg, key: 156)
SpeedDeltaInterval(start: 39000, end: 40000, value: 28.5, value description: avg, key: 233)
SpeedDeltaInterval(start: 33000, end: 34000, value: 33.0, value description: avg, key: 211)
SpeedDeltaInterval(start: 39000, end: 40000, value: 30.5, value description: avg, key: 324)
SpeedDeltaInterval(start: 39000, end: 40000, value: 32.5, value description: avg, key: 345)
SpeedDeltaInterval(start: 28000, end: 31000, value: 23.333333333333332, value description: avg, key: 198)
SpeedDeltaInterval(start: 36000, end: 39000, value: 23.25, value description: avg, key: 198)
SpeedDeltaInterval(start: 32000, end: 33000, value: 33.5, value description: avg, key: 169)
SpeedDeltaInterval(start: 35000, end: 36000, value: 32.0, value description: avg, key: 215)
SpeedDeltaInterval(start: 29000, end: 31000, value: 21.5, value description: avg, key: 302)
SpeedDeltaInterval(start: 37000, end: 38000, value: 33.0, value description: avg, key: 330)
SpeedDeltaInterval(start: 31000, end: 32000, value: 34.5, value description: avg, key: 152)
